Model,Fold,Accuracy,Balanced Accuracy,Precision,Recall/Sensitivity,Specificity,Positive-class F1,Macro F1,ROC-AUC,Brier score,TN,FP,FN,TP,Subgroup N
Soft Voting Ensemble - Sex F,External,0.9090909090909091,0.8620689655172413,1.0,0.7241379310344828,1.0,0.84,0.8882539682539683,0.9433080070134424,0.08379702602048911,59,0,8,21,88
Soft Voting Ensemble - Sex M,External,0.8225806451612904,0.8205128205128205,0.8571428571428571,0.8333333333333334,0.8076923076923077,0.8450704225352113,0.8187616263619453,0.8985042735042735,0.1314255124492257,21,5,6,30,62
