Model,Accuracy,Balanced Accuracy,Precision,Recall/Sensitivity,Specificity,Positive-class F1,Macro F1,ROC-AUC,Brier score,Macro_F1_SD
Soft Voting Ensemble,0.825531914893617,0.8183333333333334,0.8233856209150326,0.77,0.8666666666666666,0.7900727042832306,0.8195993233306856,0.9096296296296297,0.12370361539719385,0.055533467428201484
Random Forest,0.825531914893617,0.8183333333333334,0.8281898656898656,0.77,0.8666666666666666,0.7892425166006942,0.8188982976782324,0.918888888888889,0.118755480544035,0.06155103762441152
Gradient Boosting,0.825531914893617,0.8144444444444444,0.8396825396825397,0.74,0.888888888888889,0.7834931662010118,0.8183728185003261,0.906851851851852,0.12555832603843195,0.037538118788843014
Stacking Ensemble,0.8212765957446809,0.8146296296296296,0.8125138260432377,0.77,0.8592592592592592,0.7840547608739828,0.8148161673760906,0.9099999999999999,0.12593907149931574,0.05124731256675972
Decision Tree,0.8085106382978724,0.7931481481481482,0.8407017543859648,0.6900000000000001,0.8962962962962961,0.7522008547008547,0.7975703733809963,0.8262962962962963,0.16955888650032938,0.04619070480421664
Logistic Regression,0.8,0.7909259259259259,0.795789076764309,0.73,0.8518518518518519,0.7541435141435141,0.7918087734826302,0.8985185185185186,0.13627915985172748,0.05225980824195037
SVM (RBF),0.7872340425531915,0.7798148148148148,0.7671269349845201,0.73,0.8296296296296296,0.7425967725967726,0.7798442992255914,0.8870370370370371,0.14031145008328258,0.058508420224987194
